Name,Category,Product,Manufacturer,Part #,Price,Storage Conditions,Link
Potassium Hydroxide,Salts,"Potassium hydroxide - ACS reagent, ≥85%, pellets",Sigma-Aldrich,221473-1KG,$99.90,4C to 30C,https://www.sigmaaldrich.com/US/en/product/sigald/221473
Hydrochloric acid (1M),Salts,"Hydrochloric acid 1 N, Reagent Grade, Packaging=Amber Bottle, Size=500 mL",VWR,E447-500L,$72.46,4C to 30C,https://us.vwr.com/store/catalog/static_catalog.jsp?catalog_number=97064-756
HEPES,Salts,"HEPES, Crystalline Powder, ≥99.5% (titration), Poly bottle",Sigma-Aldrich,H3375-500G,$431.00,4C to 30C,https://www.sigmaaldrich.com/US/en/product/sigma/h3375
Imidazole,Salts,"ReagentPlus® Imidazole, Crystalline, 99%",Sigma-Aldrich,I202-500G,$120.00,4C to 30C,https://www.sigmaaldrich.com/US/en/product/aldrich/i202
Ammonium Chloride,Salts,"Ammonium chloride, ACS reagent, ≥99.5%",Sigma-Aldrich,213330-500G,$73.50,4C to 30C,https://www.sigmaaldrich.com/US/en/product/sigald/213330
Sodium Chloride,Salts,"Sodium Chloride, Redi-Dri™, anhydrous, free-flowing, ACS, ≥99%",Sigma-Aldrich,746398-1KG,$133.00,4C to 30C,https://www.sigmaaldrich.com/US/en/product/sigald/746398
Potassium Chloride,Salts,"Potassium Chloride, ACS reagent, 99.0-100.5%",Sigma-Aldrich,P3911-1KG,$146.00,4C to 30C,https://www.sigmaaldrich.com/US/en/product/sigald/p3911
Magnesium Chloride hexahydrate,Salts,"BioXtra Magnesium chloride, Hexahydrate, Powder or Crystals, ≥99.0%",Sigma-Aldrich,M2670-100G,$50.50,4C to 30C,https://www.sigmaaldrich.com/US/en/product/sial/m2670
Glycerol,Supplements,"Glycerol, Molecular Biology Grade, Liquid, ≥99.0%",Sigma-Aldrich,G5516-1L,$157.00,4C to 30C,https://www.sigmaaldrich.com/US/en/product/sigma/g5516
Lysozyme,Supplements,"Lysozyme from chicken egg white, protein ≥90%, ≥40,000 units/mg protein, lyophilized powder",Sigma-Aldrich,L6876-1G,$76.90,-25C to -15C,https://www.sigmaaldrich.com/US/en/product/sigma/l6876
TCEP-HCl (0.5M),Supplements,"Bond-Breaker® TCEP Neutral Solution, Water-Soluble Reducing Agent, 5 mL",Thermo Scientific,77720,$175.65,4C to 30C,https://www.thermofisher.com/order/catalog/product/77720
cOmplete Protease Inhibitor,Supplements,"cOmplete™ Protease Inhibitor Cocktail, EDTA-Free, Tablets",Roche,11873580001,$472.00,1C to 4C,https://www.sigmaaldrich.com/US/en/product/roche/coedtafro
LB,Media,"Luria Broth (Miller's LB Broth), Non-Sterile, pH 6.8-7.2, Molecular Biology Grade, Powder",Sigma-Aldrich,L3522-1KG,$221.00,4C to 30C,https://www.sigmaaldrich.com/US/en/product/sigma/l3522
IPTG,Media,"Isopropyl β-D-thiogalactoside (IPTG), Powder, ≥99% (TLC), ≤0.1% Dioxane",Sigma-Aldrich,I6758-1G,$89.90,-25C to -15C,https://www.sigmaaldrich.com/US/en/product/sial/i6758
Kanamycin,Media,"Kanamycin sulfate, BioReagent, ≥750 ug/mg, Suitable for cell culture, Powder",Sigma-Aldrich,K1377-1G,$47.70,4C to 30C,https://www.sigmaaldrich.com/US/en/product/sigma/k1377
15 mL centrifuge tubes,Consumables,"Corning® 15 mL PP Centrifuge Tubes, Rack Packed with CentriStar™ Cap, Sterile, 50/Rack",Corning,430790,$230.44,4C to 30C,https://ecatalog.corning.com/life-sciences/b2b/UK/en/Liquid-Handling/Tubes%2C-Liquid-Handling/Centrifuge-Tubes/Corning%C2%AE-15mL-Centrifuge-Tubes/p/430790
10 mL Luer lock syringes,Consumables,"Syringes with BD Luer-Lok® Tip, Volume=10 mL",BD Industrial/Difco,550-80620-PK,$102.40,4C to 30C,https://www.spectrumchemical.com/bd-8482-sterile-luer-lok-8482-tip-general-purpose-syringes-320054
0.22 µm syringe filters,Consumables,"PES Syringe Filter, 0.22μm, 30mm, Sterile",CELLTREAT Scientific Products,229747,$84.00,4C to 30C,https://www.celltreat.com/product/229747/
0.22 µm vacuum filters,Consumables,"Corning® 500 mL Vacuum Filter/Storage Bottle System, 0.22 µm Pore 33.2cm² PES Membrane, Sterile, 12/Case",Corning,431097,$187.14,4C to 30C,https://ecatalog.corning.com/life-sciences/b2c/US/en/Cell-Culture/Filtration/Vacuum-Filters/Vacuum-Filtration-Systems/p/431097